i     ,X[i-1] ,X[i] ,a[i]         ,b[i]         ,c[i]         ,d[i]
 60.0 ,  2.18 ,2.2  ,2.8328454775 ,1.5929237176 ,0.6972097521 ,0.41538055
 61.0 ,  2.2  ,2.22 ,2.8648439514 ,1.6069515515 ,0.7055736425 ,0.41819452
 62.0 ,  2.22 ,2.24 ,2.8971246586 ,1.6211472397 ,0.7139951755 ,0.42107665
 63.0 ,  2.24 ,2.26 ,2.9296909678 ,1.6355119484 ,0.7224756968 ,0.42402607
 64.0 ,  2.26 ,2.28 ,2.9625462713 ,1.6500468707 ,0.7310165359 ,0.42704196
 65.0 ,  2.28 ,2.3  ,2.9956939855 ,1.6647532262 ,0.7396190074 ,0.43012357
 66.0 ,  2.3  ,2.32 ,3.0291375515 ,1.6796322604 ,0.7482844119 ,0.43327022
 67.0 ,  2.32 ,2.34 ,3.0628804356 ,1.6946852448 ,0.7570140373 ,0.43648127
 68.0 ,  2.34 ,2.36 ,3.0969261296 ,1.7099134768 ,0.7658091598 ,0.43975613
 69.0 ,  2.36 ,2.38 ,3.1312781518 ,1.7253182789 ,0.7746710454 ,0.44309428
 70.0 ,  2.38 ,2.4  ,3.1659400469 ,1.7409009988 ,0.7836009498 ,0.44649522
 71.0 ,  2.4  ,2.42 ,3.200915387  ,1.7566630095 ,0.7926001204 ,0.44995853
 72.0 ,  2.42 ,2.44 ,3.2362077719 ,1.7726057087 ,0.8016697965 ,0.45348381
 73.0 ,  2.44 ,2.46 ,3.2718208294 ,1.7887305188 ,0.8108112104 ,0.4570707
 74.0 ,  2.46 ,2.48 ,3.3077582164 ,1.8050388867 ,0.8200255882 ,0.46071889
 75.0 ,  2.48 ,2.5  ,3.3440236184 ,1.8215322841 ,0.8293141504 ,0.46442811
 76.0 ,  2.5  ,2.52 ,3.3806207512 ,1.8382122068 ,0.8386781127 ,0.46819811
 77.0 ,  2.52 ,2.54 ,3.4175533603 ,1.8550801748 ,0.8481186866 ,0.4720287
 78.0 ,  2.54 ,2.56 ,3.4548252221 ,1.8721377324 ,0.8576370803 ,0.47591969
 79.0 ,  2.56 ,2.58 ,3.492440144  ,1.8893864482 ,0.8672344992 ,0.47987094
