j,x[j],F[xj],S[xj],F[xj] - S[xj]
112.0,0.12,0.041472,0.041472,0.0
113.0,0.13,0.048503,0.048503,6.938893903907228e-18
114.0,0.14,0.056056,0.056056,0.0
115.0,0.15,0.064125,0.064125,8.326672684688674e-17
116.0,0.16,0.072704,0.072704,0.0
117.0,0.17,0.081787,0.081787,1.3877787807814457e-17
118.0,0.18,0.091368,0.091368,0.0
119.0,0.19,0.101441,0.101441,1.3877787807814457e-17
120.0,0.2,0.112,0.112,0.0
121.0,0.21,0.123039,0.123039,2.7755575615628914e-17
122.0,0.22,0.134552,0.134552,0.0
123.0,0.23,0.146533,0.146533,2.7755575615628914e-17
124.0,0.24,0.158976,0.158976,0.0
125.0,0.25,0.171875,0.171875,2.7755575615628914e-17
126.0,0.26,0.185224,0.185224,0.0
127.0,0.27,0.199017,0.199017,0.0
128.0,0.28,0.213248,0.213248,0.0
129.0,0.29,0.227911,0.227911,5.551115123125783e-17
130.0,0.3,0.243,0.243,0.0
131.0,0.31,0.258509,0.258509,0.0
132.0,0.32,0.274432,0.274432,0.0
133.0,0.33,0.290763,0.290763,0.0
134.0,0.34,0.307496,0.307496,0.0
135.0,0.35,0.324625,0.324625,5.551115123125783e-17
136.0,0.36,0.342144,0.342144,0.0
137.0,0.37,0.360047,0.360047,0.0
138.0,0.38,0.378328,0.378328,0.0
139.0,0.39,0.396981,0.396981,5.551115123125783e-17
140.0,0.4,0.416,0.416,0.0
141.0,0.41,0.435379,0.435379,1.6653345369377348e-16
142.0,0.42,0.455112,0.455112,0.0
143.0,0.43,0.475193,0.475193,0.0
144.0,0.44,0.495616,0.495616,0.0
145.0,0.45,0.516375,0.516375,0.0
146.0,0.46,0.537464,0.537464,0.0
147.0,0.47,0.558877,0.558877,0.0
148.0,0.48,0.580608,0.580608,0.0
149.0,0.49,0.602651,0.602651,1.1102230246251565e-16
150.0,0.5,0.625,0.625,0.0
151.0,0.51,0.647649,0.647649,0.0
152.0,0.52,0.670592,0.670592,0.0
153.0,0.53,0.693823,0.693823,0.0
154.0,0.54,0.717336,0.717336,0.0
155.0,0.55,0.741125,0.741125,1.1102230246251565e-16
156.0,0.56,0.765184,0.765184,0.0
157.0,0.57,0.789507,0.789507,0.0
158.0,0.58,0.814088,0.814088,0.0
159.0,0.59,0.838921,0.838921,1.1102230246251565e-16
160.0,0.6,0.864,0.864,0.0
161.0,0.61,0.889319,0.889319,1.1102230246251565e-16
162.0,0.62,0.914872,0.914872,0.0
163.0,0.63,0.940653,0.940653,0.0
164.0,0.64,0.966656,0.966656,0.0
165.0,0.65,0.992875,0.992875,0.0
166.0,0.66,1.019304,1.019304,0.0
167.0,0.67,1.045937,1.045937,2.220446049250313e-16
168.0,0.68,1.072768,1.072768,0.0
169.0,0.69,1.099791,1.099791,0.0
170.0,0.7,1.127,1.127,0.0
171.0,0.71,1.154389,1.154389,2.220446049250313e-16
172.0,0.72,1.181952,1.181952,0.0
173.0,0.73,1.209683,1.209683,2.220446049250313e-16
174.0,0.74,1.237576,1.237576,0.0
175.0,0.75,1.265625,1.265625,0.0
176.0,0.76,1.293824,1.293824,0.0
177.0,0.77,1.322167,1.322167,2.220446049250313e-16
178.0,0.78,1.350648,1.350648,0.0
179.0,0.79,1.379261,1.379261,2.220446049250313e-16
180.0,0.8,1.408,1.408,0.0
181.0,0.81,1.436859,1.436859,0.0
182.0,0.82,1.465832,1.465832,0.0
183.0,0.83,1.494913,1.494913,4.440892098500626e-16
184.0,0.84,1.524096,1.524096,0.0
185.0,0.85,1.553375,1.553375,2.220446049250313e-16
186.0,0.86,1.582744,1.582744,0.0
187.0,0.87,1.612197,1.612197,0.0
188.0,0.88,1.641728,1.641728,0.0
189.0,0.89,1.671331,1.671331,0.0
190.0,0.9,1.701,1.701,0.0
191.0,0.91,1.730729,1.730729,2.220446049250313e-16
192.0,0.92,1.760512,1.760512,0.0
193.0,0.93,1.790343,1.790343,2.220446049250313e-16
194.0,0.94,1.820216,1.820216,0.0
195.0,0.95,1.850125,1.850125,2.220446049250313e-16
196.0,0.96,1.880064,1.880064,0.0
197.0,0.97,1.910027,1.910027,0.0
198.0,0.98,1.940008,1.940008,0.0
199.0,0.99,1.970001,1.970001,0.0
