j,x[j],F'[xj],S'[xj],F'[xj] - S'[xj]
153.0,0.53,2.3373,2.3373,6.661338147750939e-15
154.0,0.54,2.3652,2.3652,2.220446049250313e-15
155.0,0.55,2.3925,2.3925,6.217248937900877e-15
156.0,0.56,2.4192,2.4192,1.0658141036401503e-14
157.0,0.57,2.4453,2.4453,9.769962616701378e-15
158.0,0.58,2.4708,2.4708,1.3322676295501878e-15
159.0,0.59,2.4957,2.4957,3.9968028886505635e-15
160.0,0.6,2.52,2.52,1.3322676295501878e-15
161.0,0.61,2.5437,2.5437,7.549516567451064e-15
162.0,0.62,2.5668,2.5668,4.884981308350689e-15
163.0,0.63,2.5893,2.5893,1.3322676295501878e-15
164.0,0.64,2.6112,2.6112,4.884981308350689e-15
165.0,0.65,2.6325,2.6325,3.9968028886505635e-15
166.0,0.66,2.6532,2.6532,1.2878587085651816e-14
167.0,0.67,2.6733,2.6733,2.7533531010703882e-14
168.0,0.68,2.6928,2.6928,2.220446049250313e-14
169.0,0.69,2.7117,2.7117,7.993605777301127e-15
170.0,0.7,2.73,2.73,4.440892098500626e-15
171.0,0.71,2.7477,2.7477,7.993605777301127e-15
172.0,0.72,2.7648,2.7648,2.220446049250313e-15
173.0,0.73,2.7813,2.7813,8.881784197001252e-15
174.0,0.74,2.7972,2.7972,6.217248937900877e-15
175.0,0.75,2.8125,2.8125,1.9539925233402755e-14
176.0,0.76,2.8272,2.8272,7.105427357601002e-15
177.0,0.77,2.8413,2.8413,5.329070518200751e-15
178.0,0.78,2.8548,2.8548,7.549516567451064e-15
179.0,0.79,2.8677,2.8677,1.865174681370263e-14
180.0,0.8,2.88,2.88,4.440892098500626e-15
181.0,0.81,2.8917,2.8917,9.769962616701378e-15
182.0,0.82,2.9028,2.9028,4.440892098500626e-16
183.0,0.83,2.9133,2.9133,7.993605777301127e-15
184.0,0.84,2.9232,2.9232,4.884981308350689e-15
185.0,0.85,2.9325,2.9325,1.4210854715202004e-14
186.0,0.86,2.9412,2.9412,4.440892098500626e-15
187.0,0.87,2.9493,2.9493,2.3092638912203256e-14
188.0,0.88,2.9568,2.9568,1.4210854715202004e-14
189.0,0.89,2.9637,2.9637,1.1102230246251565e-14
190.0,0.9,2.97,2.97,4.1300296516055823e-14
191.0,0.91,2.9757,2.9757,5.1514348342607263e-14
192.0,0.92,2.9808,2.9808,1.5987211554602254e-14
193.0,0.93,2.9853,2.9853,2.6645352591003757e-14
194.0,0.94,2.9892,2.9892,3.552713678800501e-14
195.0,0.95,2.9925,2.9925,2.042810365310288e-14
196.0,0.96,2.9952,2.9952,9.769962616701378e-15
197.0,0.97,2.9973,2.9973,2.886579864025407e-14
198.0,0.98,2.9988,2.9988,1.0658141036401503e-14
199.0,0.99,2.9997,2.9997,1.6431300764452317e-14
