n,h,x,v_1,v_2,S,ОЛП,u,|u-v|
69,1.28,95.51,1.6546895230101727e-05,8.071656707919806e-06,-5.650159014787948e-07,9.040254423660716e-06,1.2073440489443165e-62,1.6546895230101727e-05
70,1.28,96.79,5.125947506942412e-06,2.500462352815789e-06,-1.7503234360844153e-07,2.8005174977350645e-06,1.7700504326188523e-63,5.125947506942412e-06
71,2.56,99.35,2.1299914467574293e-05,4.919142788498441e-07,-1.38720001258163e-06,2.219520020130608e-05,3.804475835941451e-65,2.1299914467574293e-05
72,0.64,99.99,8.279989022685923e-06,8.160764930997788e-06,-7.94827277920897e-09,1.271723644673435e-07,1.4567067324461873e-65,8.279989022685923e-06
73,0.005,99.995,8.218121398611914e-06,8.21812139861038e-06,-1.0220864230201891e-19,1.6353382768323026e-18,1.4458222995967262e-65,8.218121398611914e-06
74,0.0025,99.9975,8.187361154871335e-06,8.187361154871288e-06,-3.1622563364160546e-21,5.0596101382656874e-20,1.4404106192157692e-65,8.187361154871335e-06
75,0.00125,99.99875,8.172024235561045e-06,8.172024235561041e-06,-2.2587545260114675e-22,3.614007241618348e-21,1.4377123796947723e-65,8.172024235561045e-06
76,0.000625,99.999375,8.1643665529398e-06,8.1643665529398e-06,0.0,0.0,1.4363651559486246e-65,8.1643665529398e-06
77,0.0003125,99.9996875,8.160540402942074e-06,8.160540402942074e-06,0.0,0.0,1.435692017560935e-65,8.160540402942074e-06
78,0.00015625,99.99984375,8.158628000403562e-06,8.15862800040356e-06,-1.1293772630057338e-22,1.807003620809174e-21,1.4353555666736698e-65,8.158628000403562e-06
79,7.8125e-05,99.999921875,8.15767196720343e-06,8.15767196720343e-06,0.0,0.0,1.4351873707986263e-65,8.15767196720343e-06
80,3.90625e-05,99.9999609375,8.1571939926149e-06,8.1571939926149e-06,0.0,0.0,1.4351032802522362e-65,8.1571939926149e-06
81,1.953125e-05,99.99998046875,8.156955015822801e-06,8.156955015822801e-06,0.0,0.0,1.4350612368266976e-65,8.156955015822801e-06
82,9.765625e-06,99.99999023438,8.156835530052204e-06,8.156835530052204e-06,0.0,0.0,1.4350402155650796e-65,8.156835530052204e-06
