n    ,h              ,x              ,v1[1]              ,v1[2]              ,v2[1]              ,v2[2]              ,S                      ,ОЛП                    ,u[1]               ,u[2]               ,E
26   ,2.44140625e-06 ,6.347656e-05   ,7.184287492177501  ,12.815699812514264 ,7.184291677681881  ,12.815695627009879 ,4.185504385745276e-06  ,8.371008771490551e-06  ,7.184505307208974  ,12.815481997482555 ,0.00021781503170892336
27   ,2.44140625e-06 ,6.591797e-05   ,7.191144788612216  ,12.808842027798624 ,7.191148963922966  ,12.808837852487866 ,4.175310758469664e-06  ,8.350621516939327e-06  ,7.191370429926284  ,12.80861638648431  ,0.0002256413143140179
28   ,2.44140625e-06 ,6.835938e-05   ,7.197985383779097  ,12.80200094435083  ,7.197989548921043  ,12.801996779208874 ,4.165141955780882e-06  ,8.330283911561764e-06  ,7.198218811937792  ,12.80176751619188  ,0.00023342815894977775
29   ,2.44140625e-06 ,7.080078e-05   ,7.204809318353418  ,12.795176521495607 ,7.204813473351326  ,12.795172366497692 ,4.154997915506442e-06  ,8.309995831012884e-06  ,7.205050494064512  ,12.79493534578425  ,0.0002411757113573998
30   ,2.44140625e-06 ,7.324219e-05   ,7.211616632911393  ,12.788368718656745 ,7.2116207777899675 ,12.78836457377816  ,4.144878584355638e-06  ,8.289757168711276e-06  ,7.211865517027917  ,12.788119834539948 ,0.0002488841167966882
31   ,2.44140625e-06 ,7.568359e-05   ,7.218407367930409  ,12.781577495356851 ,7.218411502714298  ,12.781573360572956 ,4.13478389482691e-06   ,8.26956778965382e-06   ,7.218663921450183  ,12.781320941836793 ,0.00025655352005848897
32   ,2.44140625e-06 ,7.8125e-05     ,7.225181563789277  ,12.774802811217118 ,7.225185688503063  ,12.774798686503322 ,4.12471379540591e-06   ,8.24942759081182e-06   ,7.225445747854438  ,12.774538627151667 ,0.000264184065450479
33   ,2.44140625e-06 ,8.056641e-05   ,7.231939260768463  ,12.768044625957078 ,7.231943375436673  ,12.76804051128886  ,4.114668218591078e-06  ,8.229336437182155e-06  ,7.232211036664987  ,12.767772850060252 ,0.0002717758968255879
34   ,2.44140625e-06 ,8.300781e-05   ,7.238680499050337  ,12.761302899394364 ,7.238684603697436  ,12.761298794747256 ,4.1046471075389945e-06 ,8.209294215077989e-06  ,7.238959828207573  ,12.761023570236816 ,0.00027932915754824705
35   ,2.44140625e-06 ,8.544922e-05   ,7.245405318719399  ,12.754577591444471 ,7.245409413369794  ,12.75457349679407  ,4.094650401853528e-06  ,8.189300803707056e-06  ,7.245692162709603  ,12.75429074745395  ,0.00028684399052103515
36   ,2.44140625e-06 ,8.789063e-05   ,7.252113759762532  ,12.74786866212052  ,7.252117844440567  ,12.747864577442478 ,4.084678042914902e-06  ,8.169356085829804e-06  ,7.25240808030039   ,12.747574341582332 ,0.0002943205381882308
37   ,2.44140625e-06 ,9.033203e-05   ,7.258805862069227  ,12.741176071533019 ,7.2588099367991905 ,12.741171996803045 ,4.074729973879698e-06  ,8.149459947759397e-06  ,7.259107621011401  ,12.740874312590508 ,0.0003017589425109435
38   ,2.44140625e-06 ,9.277344e-05   ,7.26548166543183   ,12.734499779889623 ,7.265485730237951  ,12.734495715083492 ,4.06480613079907e-06   ,8.12961226159814e-06   ,7.2657908247764835 ,12.734190620544624 ,0.00030915934499908815
39   ,2.44140625e-06 ,9.521484e-05   ,7.2721412095457705 ,12.727839747494901 ,7.2721452644522175 ,12.727835692588446 ,4.054906455053242e-06  ,8.109812910106484e-06  ,7.272457731432109  ,12.727523225608206 ,0.0003165218866953978
40   ,2.44140625e-06 ,9.765625e-05   ,7.278784534009803  ,12.721195934750098 ,7.278788579040687  ,12.721191889719206 ,4.045030891575152e-06  ,8.090061783150304e-06  ,7.279108380717618  ,12.72087208804192  ,0.00032384670817720007
41   ,2.44140625e-06 ,0.00010009766  ,7.285411678326243  ,12.7145683021529   ,7.285415713505615  ,12.71456426697352  ,4.0351793799686675e-06 ,8.070358759937335e-06  ,7.28574281227544   ,12.71423716820333  ,0.0003311339495706278
42   ,2.44140625e-06 ,0.00010253906  ,7.292022681901196  ,12.707956810297201 ,7.292026707253047  ,12.707952784945343 ,4.025351858061299e-06  ,8.050703716122598e-06  ,7.2923610656513445 ,12.70761842654667  ,0.0003383837505310794
43   ,2.44140625e-06 ,0.00010498047  ,7.2986175840447975 ,12.701361419872866 ,7.298621599593066  ,12.70135740432459  ,4.015548276115055e-06  ,8.03109655223011e-06   ,7.298963180294669  ,12.7010158236226   ,0.00034559625026631124
44   ,2.44140625e-06 ,0.00010742188  ,7.305196423971445  ,12.694782091665497 ,7.305200429740004  ,12.694778085896928 ,4.005768568404733e-06  ,8.011537136809466e-06  ,7.305549195558562  ,12.694429320077976 ,0.0003527715875204507
45   ,2.44140625e-06 ,0.00010986328  ,7.311759240800029  ,12.688218786556202 ,7.3117632368126975 ,12.688214790543524 ,3.996012678086913e-06  ,7.992025356173826e-06  ,7.312119150700205  ,12.687858876655614 ,0.0003599099005882067
46   ,2.44140625e-06 ,0.00011230469  ,7.31830607355417   ,12.681671465521362 ,7.318310059834708  ,12.681667479240817 ,3.986280544765464e-06  ,7.972561089530927e-06  ,7.318673084881059  ,12.681304454194056 ,0.0003670113273059883
47   ,2.44140625e-06 ,0.00011474609  ,7.324836961162446  ,12.675140089632398 ,7.324840937734557  ,12.675136113060281 ,3.976572116926036e-06  ,7.953144233852072e-06  ,7.3252110371670875 ,12.67476601362733  ,0.0003740760050678915
48   ,2.44140625e-06 ,0.0001171875   ,7.331351942458627  ,12.668624620055542 ,7.3313559093459535 ,12.668620653168208 ,3.9668873341724975e-06 ,7.933774668344995e-06  ,7.331733046529     ,12.668243515984734 ,0.00038110407080793607
49   ,2.44140625e-06 ,0.00011962891  ,7.337851056181906  ,12.6621250180516   ,7.337855013408035  ,12.662121060825465 ,3.957226136108716e-06  ,7.914452272217432e-06  ,7.338239151842474  ,12.661736922390586 ,0.00038809566101427606
50   ,2.44140625e-06 ,0.00012207031  ,7.344334340977125  ,12.655641244975731 ,7.344338288565588  ,12.655637297387258 ,3.947588472996699e-06  ,7.895176945993398e-06  ,7.3447293918883965 ,12.655246194064006 ,0.0003950509117256473
51   ,2.44140625e-06 ,0.00012451172  ,7.35080183539501   ,12.649173262277207 ,7.350805773369277  ,12.64916932430293  ,3.937974277334888e-06  ,7.875948554669776e-06  ,7.351203805353085  ,12.64877129231867  ,0.0004019699585366965
52   ,2.44140625e-06 ,0.00012695313  ,7.357253577892399  ,12.64272103149919  ,7.357257506275887  ,12.642717103115695 ,3.928383495832577e-06  ,7.856766991665154e-06  ,7.357662430828524  ,12.642312178562593 ,0.00040885293659798094
53   ,2.44140625e-06 ,0.00012939453  ,7.363689606832469  ,12.636284514278506 ,7.363693525648536  ,12.636280595462432 ,3.918816073422704e-06  ,7.837632146845408e-06  ,7.3641053068126    ,12.635868814297893 ,0.0004156999806124162
54   ,2.44140625e-06 ,0.00013183594  ,7.370109960484965  ,12.629863672345406 ,7.370113869756909  ,12.629859763073453 ,3.90927195326185e-06   ,7.8185439065237e-06    ,7.370532471709317  ,12.629441161120564 ,0.00042251122484238124
55   ,2.44140625e-06 ,0.00013427734  ,7.376514677026427  ,12.623458467523353 ,7.376518576777496  ,12.623454567772276 ,3.89975107673024e-06   ,7.79950215346048e-06   ,7.376943963829037  ,12.623029180720243 ,0.00042928680310971856
56   ,2.44140625e-06 ,0.00013671875  ,7.382903794540419  ,12.61706886172878  ,7.382907684793798  ,12.617064971475394 ,3.890253386984455e-06  ,7.78050677396891e-06   ,7.383339821388708  ,12.616632834879985 ,0.00043602684879573417
57   ,2.44140625e-06 ,0.00013916016  ,7.3892773510177525 ,12.610694816970879 ,7.389281231796574  ,12.61069093619205  ,3.880778828957432e-06  ,7.761557657914864e-06  ,7.389720082512084  ,12.61025208547603  ,0.000442731494848303
58   ,2.44140625e-06 ,0.00014160156  ,7.395635384356715  ,12.604336295351361 ,7.395639255684055  ,12.604332424024015 ,3.871327345805753e-06  ,7.742654691611506e-06  ,7.396084785229958  ,12.603886894477592 ,0.0004494008737694344
59   ,2.44140625e-06 ,0.00014404297  ,7.401977932363294  ,12.59799325906424  ,7.40198179426217   ,12.597989397165355 ,3.8618988842387125e-06 ,7.723797768477425e-06  ,7.402433967480391  ,12.597537223946606 ,0.0004560351176330357
60   ,2.44140625e-06 ,0.00014648438  ,7.408305032751401  ,12.591665670395601 ,7.408308885244775  ,12.591661817902219 ,3.852493382083821e-06  ,7.704986764167643e-06  ,7.408767667108931  ,12.591203036037525 ,0.0004626343580760306
61   ,2.44140625e-06 ,0.00014892578  ,7.414616723143099  ,12.585353491723383 ,7.414620566253878  ,12.585349648612597 ,3.843110786050374e-06  ,7.686221572100749e-06  ,7.415085921868844  ,12.584884292997085 ,0.0004691987262983588
62   ,2.44140625e-06 ,0.00015136719  ,7.420913041068821  ,12.579056685517152 ,7.420916874819856  ,12.579052851766107 ,3.833751044624023e-06  ,7.667502089248046e-06  ,7.421388769421336  ,12.578580957164077 ,0.00047572835307541084
63   ,2.44140625e-06 ,0.00015380859  ,7.427194023967598  ,12.572775214337879 ,7.427197848381685  ,12.572771389923783 ,3.824414095632278e-06  ,7.648828191264556e-06  ,7.42767624733578   ,12.572292990969126 ,0.0004822233687526989
64   ,2.44140625e-06 ,0.00015625     ,7.43345970918728   ,12.566509040837714 ,7.433463524287158  ,12.566505225737826 ,3.815099887560791e-06  ,7.630199775121582e-06  ,7.43394839308994   ,12.566020356934475 ,0.0004886839032387513
65   ,2.44140625e-06 ,0.00015869141  ,7.4397101339847564 ,12.560258127759766 ,7.439713939793109  ,12.560254321951405 ,3.8058083617897864e-06 ,7.611616723579573e-06  ,7.440205244070189  ,12.559763017673742 ,0.0004951100860246527
66   ,2.44140625e-06 ,0.00016113281  ,7.44594533552618   ,12.554022437937881 ,7.445949132065638  ,12.554018641398416 ,3.796539465028559e-06  ,7.593078930057118e-06  ,7.446446837571742  ,12.553520935891722 ,0.0005015020461591746
67   ,2.44140625e-06 ,0.00016357422  ,7.452165350887187  ,12.547801934296427 ,7.452169138180325  ,12.547798147003281 ,3.78729314576276e-06   ,7.57458629152552e-06   ,7.452673210798867  ,12.54729407438414  ,0.0005078599122860794
68   ,2.44140625e-06 ,0.00016601563  ,7.458370217053116  ,12.54159657985006  ,7.458373995122452  ,12.541592801780716 ,3.7780693435962576e-06 ,7.556138687192515e-06  ,7.458884400865115  ,12.541082396037448 ,0.0005141838126121456
69   ,2.44140625e-06 ,0.00016845703  ,7.4645599709192325 ,12.535406337703519 ,7.464563739787229  ,12.535402568835515 ,3.7688680034619892e-06 ,7.5377360069239785e-06 ,7.465080444793534  ,12.534885863828594 ,0.0005204738749249316
70   ,2.44140625e-06 ,0.00017089844  ,7.47073464929094   ,12.529231171051398 ,7.470738408980008  ,12.52922741136232  ,3.7596890773983205e-06 ,7.519378154796641e-06  ,7.4712613795169025 ,12.528704440824804 ,0.0005267302265945517
71   ,2.44140625e-06 ,0.00017333984  ,7.476894288884008  ,12.52307104317793  ,7.476898039416503  ,12.523067292645425 ,3.7505325050091187e-06 ,7.5010650100182374e-06 ,7.477427241877932  ,12.522538090183364 ,0.0005329529945665712
72   ,2.44140625e-06 ,0.00017578125  ,7.4830389263247845 ,12.516925917456765 ,7.483042667723007  ,12.516922176058536 ,3.741398229450965e-06  ,7.48279645890193e-06   ,7.4835780686295035 ,12.516386775151398 ,0.000539142305367335
73   ,2.44140625e-06 ,0.00017822266  ,7.489168598150416  ,12.510795757350758 ,7.489172330436611  ,12.510792025064555 ,3.732286202762225e-06  ,7.46457240552445e-06   ,7.4897138964348695 ,12.510250459065643 ,0.000545298285114626
74   ,2.44140625e-06 ,0.00018066406  ,7.495283340809064  ,12.504680526411745 ,7.495287064005424  ,12.504676803215377 ,3.7231963680994795e-06 ,7.446392736198959e-06  ,7.49583476186789   ,12.504129105352249 ,0.0005514210594963487
75   ,2.44140625e-06 ,0.00018310547  ,7.501383190660123  ,12.498580188280334 ,7.501386904788785  ,12.498576474151664 ,3.7141286703956666e-06 ,7.428257340791333e-06  ,7.50194070141324   ,12.498022677526539 ,0.0005575107537953983
76   ,2.44140625e-06 ,0.00018554688  ,7.507468183974433  ,12.492494706685683 ,7.507471889057483  ,12.492491001602625 ,3.705083058136438e-06  ,7.410166116272876e-06  ,7.5080317514666275 ,12.4919311391928   ,0.0005635674928825551
77   ,2.44140625e-06 ,0.00018798828  ,7.513538356934501  ,12.486424045445286 ,7.5135420529939685 ,12.48642034938581  ,3.6960594762547316e-06 ,7.392118952509463e-06  ,7.514107948335012  ,12.485854454044077 ,0.0005695914012093795
78   ,2.44140625e-06 ,0.00019042969  ,7.519593745634711  ,12.48036816846476  ,7.5195974326925725 ,12.48036448140689  ,3.6870578714598423e-06 ,7.374115742919685e-06  ,7.520169328236824  ,12.479792585861938 ,0.000575582602822422
79   ,2.44140625e-06 ,0.00019287109  ,7.52563438608154   ,12.474327039737627 ,7.525638064159719  ,12.474323361659442 ,3.6780781851319944e-06 ,7.356156370263989e-06  ,7.526215927302175  ,12.473745498516273 ,0.0005815412213543425
80   ,2.44140625e-06 ,0.0001953125   ,7.531660314193775  ,12.4683006233451   ,7.53166398331414   ,12.468296954224726 ,3.6691203728622668e-06 ,7.3382407457245336e-06 ,7.532247781573078  ,12.467713155965066 ,0.0005874673800327912
