n    ,h    ,x_1  ,v_1                    ,v_2                    ,S                       ,olp
213  ,0.01 ,2.13 ,0.08193305086399195    ,0.08193305075911134    ,-6.992041205281889e-12  ,-1.1187265928451022e-10
214  ,0.01 ,2.14 ,0.08071322665474069    ,0.08071322655093648    ,-6.9202810148993875e-12 ,-1.107244962383902e-10
215  ,0.01 ,2.15 ,0.0795115632619827     ,0.0795115631592461     ,-6.8491073923482306e-12 ,-1.0958571827757169e-10
216  ,0.01 ,2.16 ,0.07832779030638531    ,0.07832779020470751    ,-6.7785203376284164e-12 ,-1.0845632540205466e-10
217  ,0.01 ,2.17 ,0.07716164143403964    ,0.0771616413334119     ,-6.708516149996531e-12  ,-1.073362583999445e-10
218  ,0.01 ,2.18 ,0.0760128542565299     ,0.0760128541569435     ,-6.639092979080866e-12  ,-1.0622548766529386e-10
219  ,0.01 ,2.19 ,0.07488117029189491    ,0.07488117019334115    ,-6.570250824881422e-12  ,-1.0512401319810276e-10
220  ,0.01 ,2.2  ,0.0737663349064685     ,0.0737663348089387     ,-6.5019869118406366e-12 ,-1.0403179058945018e-10
221  ,0.01 ,2.21 ,0.07266809725758593    ,0.07266809716107145    ,-6.434298464400948e-12  ,-1.0294877543041517e-10
222  ,0.01 ,2.22 ,0.07158621023714318    ,0.0715862101416354     ,-6.367185482562358e-12  ,-1.0187496772099772e-10
223  ,0.01 ,2.23 ,0.07052043041599661    ,0.07052043032148696    ,-6.3006433403955954e-12 ,-1.0081029344632953e-10
224  ,0.01 ,2.24 ,0.06947051798919038    ,0.0694705178956703     ,-6.234672037900661e-12  ,-9.975475260641057e-11
225  ,0.01 ,2.25 ,0.0684362367219993     ,0.06843623662946027    ,-6.169268799519993e-12  ,-9.870830079231989e-11
226  ,0.01 ,2.26 ,0.06741735389677507    ,0.0674173538052086     ,-6.104431774881884e-12  ,-9.767090839811014e-11
227  ,0.01 ,2.27 ,0.06641364026058375    ,0.06641364016998139    ,-6.040157263242918e-12  ,-9.664251621188669e-11
228  ,0.01 ,2.28 ,0.06542486997362293    ,0.06542486988397628    ,-5.976443414231388e-12  ,-9.562309462770221e-11
229  ,0.01 ,2.29 ,0.06445082055840684    ,0.06445082046970753    ,-5.913287452289732e-12  ,-9.461259923663571e-11
230  ,0.01 ,2.3  ,0.06349127284970794    ,0.06349127276194762    ,-5.850688452232096e-12  ,-9.361101523571354e-11
231  ,0.01 ,2.31 ,0.06254601094524384    ,0.06254601085841421    ,-5.7886417881292115e-12 ,-9.261826861006738e-11
232  ,0.01 ,2.32 ,0.061614822157098355   ,0.06161482207119117    ,-5.72714560960937e-12   ,-9.163432975374992e-11
233  ,0.01 ,2.33 ,0.06069749696386585    ,0.06069749687887289    ,-5.666197603707938e-12  ,-9.0659161659327e-11
234  ,0.01 ,2.34 ,0.05979382896350804    ,0.059793828879421106   ,-5.60579545746028e-12   ,-8.969272731936448e-11
235  ,0.01 ,2.35 ,0.05890361482691263    ,0.05890361474372359    ,-5.545935932715906e-12  ,-8.87349749234545e-11
236  ,0.01 ,2.36 ,0.05802665425214344    ,0.0580266541698442     ,-5.486616253917257e-12  ,-8.778586006267611e-11
237  ,0.01 ,2.37 ,0.05716274991937161    ,0.05716274983795411    ,-5.427833645506771e-12  ,-8.684533832810834e-11
238  ,0.01 ,2.38 ,0.056311707446477816   ,0.056311707365934036   ,-5.369585331926885e-12  ,-8.591336531083016e-11
239  ,0.01 ,2.39 ,0.05547333534531545    ,0.05547333526563743    ,-5.311868075027112e-12  ,-8.498988920043379e-11
240  ,0.01 ,2.4  ,0.054647444978625      ,0.05464744489980482    ,-5.254678636656962e-12  ,-8.407485818651139e-11
241  ,0.01 ,2.41 ,0.05383385051758987    ,0.05383385043961965    ,-5.198014703851802e-12  ,-8.316823526162883e-11
242  ,0.01 ,2.42 ,0.053032368900024114   ,0.053032368822896005   ,-5.141873963646996e-12  ,-8.226998341835193e-11
243  ,0.01 ,2.43 ,0.05224281978918265    ,0.05224281971288886    ,-5.08625271529913e-12   ,-8.138004344478608e-11
244  ,0.01 ,2.44 ,0.051465025533184765   ,0.05146502545771755    ,-5.031147720657714e-12  ,-8.049836353052343e-11
245  ,0.01 ,2.45 ,0.050698811125041654   ,0.05069881105039331    ,-4.976556204165187e-12  ,-7.9624899266643e-11
246  ,0.01 ,2.46 ,0.04994400416327914    ,0.049944004089442016   ,-4.922474927671061e-12  ,-7.875959884273698e-11
247  ,0.01 ,2.47 ,0.049200434813146614   ,0.049200434740113104   ,-4.868900653024847e-12  ,-7.790241044839755e-11
248  ,0.01 ,2.48 ,0.048467935768403476   ,0.04846793569616602    ,-4.815830604668984e-12  ,-7.705328967470375e-11
249  ,0.01 ,2.49 ,0.047746342213674554   ,0.047746342142225624   ,-4.76326200704591e-12   ,-7.621219211273456e-11
250  ,0.01 ,2.5  ,0.04703549178736592    ,0.047035491716698054   ,-4.711191159412209e-12  ,-7.537905855059534e-11
251  ,0.01 ,2.51 ,0.04633522454513287    ,0.04633522447523865    ,-4.659614823617394e-12  ,-7.45538371778783e-11
252  ,0.01 ,2.52 ,0.04564538292389176    ,0.045645382854763814   ,-4.6085297615109745e-12 ,-7.373647618417559e-11
253  ,0.01 ,2.53 ,0.04496581170636765    ,0.044965811637998655   ,-4.557933197535391e-12  ,-7.292693116056626e-11
254  ,0.01 ,2.54 ,0.04429635798616978    ,0.04429635791855245    ,-4.5078218935401536e-12 ,-7.212515029664246e-11
255  ,0.01 ,2.55 ,0.04363687113338694    ,0.04363687106651405    ,-4.458192611374775e-12  ,-7.13310817819964e-11
256  ,0.01 ,2.56 ,0.042987202760695155   ,0.04298720269455953    ,-4.409041650295838e-12  ,-7.054466640473341e-11
257  ,0.01 ,2.57 ,0.042347206689969885   ,0.04234720662456439    ,-4.360366234745783e-12  ,-6.976585975593252e-11
258  ,0.01 ,2.58 ,0.041716738919395334   ,0.041716738854712894   ,-4.312162663981193e-12  ,-6.899460262369909e-11
259  ,0.01 ,2.59 ,0.04109565759106344    ,0.04109565752709702    ,-4.264428162444508e-12  ,-6.823085059911212e-11
260  ,0.01 ,2.6  ,0.04048382295905524    ,0.04048382289579786    ,-4.217158566799384e-12  ,-6.747453706879014e-11
261  ,0.01 ,2.61 ,0.039881097357997455   ,0.03988109729544218    ,-4.170351564081187e-12  ,-6.6725625025299e-11
262  ,0.01 ,2.62 ,0.03928734517208719    ,0.03928734511022714    ,-4.124003453546502e-12  ,-6.598405525674404e-11
263  ,0.01 ,2.63 ,0.03870243280457783    ,0.038702432743406165   ,-4.07811099704484e-12   ,-6.524977595271745e-11
264  ,0.01 ,2.64 ,0.03812622864771917    ,0.038126228587229104   ,-4.032670956425714e-12  ,-6.452273530281142e-11
265  ,0.01 ,2.65 ,0.03755860305314515    ,0.03755860299332994    ,-3.9876805561315604e-12 ,-6.380288889810497e-11
266  ,0.01 ,2.66 ,0.03699942830270241    ,0.03699942824355538    ,-3.943135632826037e-12  ,-6.309017012521659e-11
267  ,0.01 ,2.67 ,0.03644857857971318    ,0.03644857852122768    ,-3.899033410951584e-12  ,-6.238453457522534e-11
268  ,0.01 ,2.68 ,0.03590592994066597    ,0.03590592988283542    ,-3.855370189764784e-12  ,-6.168592303623655e-11
269  ,0.01 ,2.69 ,0.035371360287327784   ,0.03537136023014565    ,-3.812142268522223e-12  ,-6.099427629635556e-11
270  ,0.01 ,2.7  ,0.034844749339271494   ,0.03484474928273128    ,-3.769347796852193e-12  ,-6.030956474963508e-11
271  ,0.01 ,2.71 ,0.03432597860681223    ,0.0343259785509075     ,-3.726982148825423e-12  ,-5.963171438120677e-11
272  ,0.01 ,2.72 ,0.03381493136434671    ,0.03381493130907107    ,-3.685043011477281e-12  ,-5.896068818363649e-11
273  ,0.01 ,2.73 ,0.03331149262408948    ,0.03331149256943659    ,-3.6435257588784966e-12 ,-5.829641214205594e-11
274  ,0.01 ,2.74 ,0.032815549110200175   ,0.032815549056163754   ,-3.6024280780644345e-12 ,-5.763884924903095e-11
275  ,0.01 ,2.75 ,0.032326989233295994   ,0.03232698917986979    ,-3.5617467308846073e-12 ,-5.6987947694153716e-11
276  ,0.01 ,2.76 ,0.0318457030653436     ,0.031845703012521424   ,-3.521478479188526e-12  ,-5.6343655667016415e-11
277  ,0.01 ,2.77 ,0.03137158231492485    ,0.03137158226270056    ,-3.481619622232775e-12  ,-5.57059139557244e-11
278  ,0.01 ,2.78 ,0.03090452030287079    ,0.030904520251238285   ,-3.4421669218668663e-12 ,-5.507467074986986e-11
279  ,0.01 ,2.79 ,0.03044441193825835    ,0.030444411887211593   ,-3.403117139940311e-12  ,-5.4449874239044975e-11
280  ,0.01 ,2.8  ,0.029991153694764495   ,0.029991153644297486   ,-3.3644672695990843e-12 ,-5.383147631358535e-11
281  ,0.01 ,2.81 ,0.029544643587372327   ,0.029544643537479116   ,-3.3262140726926978e-12 ,-5.3219425163083164e-11
282  ,0.01 ,2.82 ,0.029104781149424035   ,0.029104781100098724   ,-3.288354079774199e-12  ,-5.2613665276387185e-11
283  ,0.01 ,2.83 ,0.028671467410015486   ,0.028671467361252225   ,-3.2508840526931e-12    ,-5.20141448430896e-11
284  ,0.01 ,2.84 ,0.02824460487172734    ,0.028244604823520324   ,-3.2138009845953755e-12 ,-5.142081575352601e-11
285  ,0.01 ,2.85 ,0.02782409748868772    ,0.0278240974410312     ,-3.1771014060340736e-12 ,-5.083362249654518e-11
286  ,0.01 ,2.86 ,0.0274098506449615     ,0.027409850597849766   ,-3.1407823101551695e-12 ,-5.025251696248271e-11
287  ,0.01 ,2.87 ,0.027001771133261302   ,0.027001771086688695   ,-3.1048404588081744e-12 ,-4.967744734093079e-11
288  ,0.01 ,2.88 ,0.026599767133975473   ,0.026599767087936384   ,-3.0692726138425996e-12 ,-4.910836182148159e-11
289  ,0.01 ,2.89 ,0.026203748194508283   ,0.02620374814899715    ,-3.034075537107957e-12  ,-4.854520859372731e-11
290  ,0.01 ,2.9  ,0.02581362520892771    ,0.025813625163939022   ,-2.9992459904537584e-12 ,-4.7987935847260135e-11
291  ,0.01 ,2.91 ,0.025429310397916235   ,0.025429310353444517   ,-2.9647811983224415e-12 ,-4.7436499173159064e-11
292  ,0.01 ,2.92 ,0.02505071728902011    ,0.02505071724505994    ,-2.9306779225635183e-12 ,-4.689084676101629e-11
293  ,0.01 ,2.93 ,0.024677760697192706   ,0.02467776065373871    ,-2.8969331563229634e-12 ,-4.6350930501167415e-11
294  ,0.01 ,2.94 ,0.02431035670562751    ,0.024310356662674358   ,-2.8635434301538252e-12 ,-4.5816694882461204e-11
295  ,0.01 ,2.95 ,0.02394842264687649    ,0.023948422604418904   ,-2.8305057372020786e-12 ,-4.528809179523326e-11
296  ,0.01 ,2.96 ,0.02359187708424958    ,0.023591877042282328   ,-2.7978168393172355e-12 ,-4.476506942907577e-11
297  ,0.01 ,2.97 ,0.023240639793491072   ,0.02324063975200896    ,-2.7654741922381967e-12 ,-4.424758707581115e-11
298  ,0.01 ,2.98 ,0.022894631744728815   ,0.022894631703726697   ,-2.733474557814475e-12  ,-4.37355929250316e-11
299  ,0.01 ,2.99 ,0.02255377508469217    ,0.02255377504416495    ,-2.7018146978955807e-12 ,-4.322903516632929e-11
300  ,0.01 ,3.0  ,0.0222179931191947     ,0.022217993079137327   ,-2.67049160562749e-12   ,-4.272786569003984e-11
301  ,0.01 ,3.01 ,0.02188721029587764    ,0.021887210256285105   ,-2.6395022741561763e-12 ,-4.223203638649882e-11
302  ,0.01 ,3.02 ,0.0215613521872103     ,0.021561352148077646   ,-2.6088436966276163e-12 ,-4.174149914604186e-11
303  ,0.01 ,3.03 ,0.02124034547374358    ,0.021240345435065887   ,-2.5785128661877837e-12 ,-4.125620585900454e-11
304  ,0.01 ,3.04 ,0.020924117927612746   ,0.02092411788938514    ,-2.5485070072791178e-12 ,-4.0776112116465885e-11
305  ,0.01 ,3.05 ,0.02061259839628589    ,0.020612598358503542   ,-2.5188231130475933e-12 ,-4.030116980876149e-11
306  ,0.01 ,3.06 ,0.020305716786554285   ,0.020305716749212412   ,-2.4894581766391847e-12 ,-3.9831330826226956e-11
307  ,0.01 ,3.07 ,0.020003404048761136   ,0.020003404011854995   ,-2.4604094224963308e-12 ,-3.936655075994129e-11
308  ,0.01 ,3.08 ,0.019705592161265106   ,0.019705592124790002   ,-2.4316736124685432e-12 ,-3.890677779949669e-11
309  ,0.01 ,3.09 ,0.019412214115135166   ,0.01941221407908644    ,-2.4032484335911873e-12 ,-3.8451974937458997e-11
310  ,0.01 ,3.1  ,0.01912320389907329    ,0.019123203863446334   ,-2.375130416417311e-12  ,-3.8002086662676975e-11
311  ,0.01 ,3.11 ,0.01883849648456165    ,0.0188384964493519     ,-2.347316785389353e-12  ,-3.7557068566229646e-11
312  ,0.01 ,3.12 ,0.01855802781123092    ,0.018558027776433846   ,-2.3198049962462147e-12 ,-3.7116879939939436e-11
313  ,0.01 ,3.13 ,0.018281734772446417   ,0.018281734738057533   ,-2.2925922734303344e-12 ,-3.668147637488535e-11
314  ,0.01 ,3.14 ,0.018009555201108845   ,0.01800955516712371    ,-2.265675610087688e-12  ,-3.625080976140301e-11
315  ,0.01 ,3.15 ,0.01774142785566644    ,0.017741427822080658   ,-2.2390522306607135e-12 ,-3.5824835690571416e-11
316  ,0.01 ,3.16 ,0.017477292406335363   ,0.017477292373144573   ,-2.212719359591849e-12  ,-3.5403509753469584e-11
317  ,0.01 ,3.17 ,0.01721708942152523    ,0.017217089388725116   ,-2.186674221323533e-12  ,-3.498678754117653e-11
318  ,0.01 ,3.18 ,0.01696076035446677    ,0.01696076032205306    ,-2.1609140402982044e-12 ,-3.457462464477127e-11
319  ,0.01 ,3.19 ,0.01670824753003855    ,0.016708247498007006   ,-2.1354362722547648e-12 ,-3.4166980356076236e-11
320  ,0.01 ,3.2  ,0.016459494131789824   ,0.01645949410013625    ,-2.1102381416356525e-12 ,-3.376381026617044e-11
321  ,0.01 ,3.21 ,0.016214444189156598   ,0.01621444415787684    ,-2.0853171041797697e-12 ,-3.3365073666876315e-11
322  ,0.01 ,3.22 ,0.015973042564868017   ,0.01597304253395796    ,-2.060670384329555e-12  ,-3.297072614927288e-11
323  ,0.01 ,3.23 ,0.015735234942540238   ,0.01573523491199581    ,-2.036295206527446e-12  ,-3.2580723304439135e-11
324  ,0.01 ,3.24 ,0.015500967814455025   ,0.015500967784272188   ,-2.012189142160577e-12  ,-3.2195026274569234e-11
325  ,0.01 ,3.25 ,0.015270188469520284   ,0.015270188439695041   ,-1.988349531319618e-12  ,-3.181359250111389e-11
326  ,0.01 ,3.26 ,0.01504284498140984    ,0.015042844951938233   ,-1.9647738297434714e-12 ,-3.143638127589554e-11
327  ,0.01 ,3.27 ,0.0148188861968798     ,0.01481888616775791    ,-1.9414593775228065e-12 ,-3.1063350040364904e-11
328  ,0.01 ,3.28 ,0.014598261724258856   ,0.014598261695482801   ,-1.9184036303965256e-12 ,-3.069445808634441e-11
329  ,0.01 ,3.29 ,0.01438092192210994    ,0.01438092189367588    ,-1.8956040441035307e-12 ,-3.032966470565649e-11
330  ,0.01 ,3.3  ,0.014166817888060705   ,0.014166817859964832   ,-1.8730581900309556e-12 ,-2.996893104049529e-11
331  ,0.01 ,3.31 ,0.01395590144780027    ,0.01395590142003882    ,-1.8507634082694696e-12 ,-2.9612214532311514e-11
332  ,0.01 ,3.32 ,0.01374812514423981    ,0.01374812511680905    ,-1.8287172702062076e-12 ,-2.925947632329932e-11
333  ,0.01 ,3.33 ,0.013543442226834497   ,0.013543442199730736   ,-1.8069173472283022e-12 ,-2.8910677555652835e-11
334  ,0.01 ,3.34 ,0.013341806641064444   ,0.013341806614284026   ,-1.7853612107228873e-12 ,-2.8565779371566198e-11
335  ,0.01 ,3.35 ,0.013143173018072236   ,0.01314317299161154    ,-1.764046432077097e-12  ,-2.822474291323355e-11
336  ,0.01 ,3.36 ,0.012947496664454744   ,0.012947496638310184   ,-1.742970698326296e-12  ,-2.7887531173220735e-11
337  ,0.01 ,3.37 ,0.012754733552206927   ,0.012754733526374955   ,-1.7221314652093866e-12 ,-2.7554103443350185e-11
338  ,0.01 ,3.38 ,0.012564840308815339   ,0.012564840283292444   ,-1.7015263041135023e-12 ,-2.7224420865816038e-11
339  ,0.01 ,3.39 ,0.012377774207499137   ,0.01237777418228184    ,-1.6811531333704722e-12 ,-2.6898450133927555e-11
340  ,0.01 ,3.4  ,0.01219349315759637    ,0.01219349313268123    ,-1.661009293070966e-12  ,-2.6576148689135454e-11
341  ,0.01 ,3.41 ,0.012011955695093402   ,0.012011955670477012   ,-1.6410927015468128e-12 ,-2.6257483224749004e-11
342  ,0.01 ,3.42 ,0.01183312097329534    ,0.011833120948974325   ,-1.6214009301851462e-12 ,-2.594241488296234e-11
343  ,0.01 ,3.43 ,0.011656948753635347   ,0.01165694872960637    ,-1.6019317816695634e-12 ,-2.5630908506713014e-11
344  ,0.01 ,3.44 ,0.011483399396620804   ,0.01148339937288056    ,-1.5826829430354294e-12 ,-2.532292708856687e-11
345  ,0.01 ,3.45 ,0.011312433852914246   ,0.011312433829459463   ,-1.5636522169663417e-12 ,-2.5018435471461467e-11
346  ,0.01 ,3.46 ,0.011144013654547109   ,0.01114401363137455    ,-1.5448372904976655e-12 ,-2.471739664796265e-11
347  ,0.01 ,3.47 ,0.010978100906264261   ,0.010978100883370721   ,-1.526235966312998e-12  ,-2.4419775461007967e-11
348  ,0.01 ,3.48 ,0.010814658276997423   ,0.010814658254379732   ,-1.5078460470959361e-12 ,-2.4125536753534978e-11
349  ,0.01 ,3.49 ,0.010653648991465512   ,0.010653648969120529   ,-1.4896655668265404e-12 ,-2.3834649069224647e-11
350  ,0.01 ,3.5  ,0.010495036821900052   ,0.01049503679982467    ,-1.4716922125401767e-12 ,-2.3547075400642826e-11
351  ,0.01 ,3.51 ,0.010338786079893771   ,0.010338786058084913   ,-1.453923902568673e-12  ,-2.326278244109877e-11
352  ,0.01 ,3.52 ,0.01018486160837056    ,0.010184861586825184   ,-1.4363584395956272e-12 ,-2.2981735033530035e-11
353  ,0.01 ,3.53 ,0.010033228773674982   ,0.010033228752390077   ,-1.4189936263046358e-12 ,-2.2703898020874172e-11
354  ,0.01 ,3.54 ,0.009883853457779552   ,0.00988385343675214    ,-1.4018274966757597e-12 ,-2.2429239946812155e-11
355  ,0.01 ,3.55 ,0.009736702050608042   ,0.009736702029835172   ,-1.3848579690408278e-12 ,-2.2157727504653244e-11
356  ,0.01 ,3.56 ,0.009591741442473068   ,0.009591741421951822   ,-1.3680830773799001e-12 ,-2.1889329238078402e-11
357  ,0.01 ,3.57 ,0.009448939016626268   ,0.009448938996353757   ,-1.3515007400248061e-12 ,-2.1624011840396898e-11
358  ,0.01 ,3.58 ,0.009308262641919402   ,0.00930826262189277    ,-1.3351088753073744e-12 ,-2.136174200491799e-11
359  ,0.01 ,3.59 ,0.009169680665574708   ,0.009169680645791125   ,-1.3189055172076655e-12 ,-2.110248827532265e-11
360  ,0.01 ,3.6  ,0.009033161906062886   ,0.009033161886519554   ,-1.3028888153539717e-12 ,-2.0846221045663547e-11
361  ,0.01 ,3.61 ,0.008898675646087128   ,0.00889867562678128    ,-1.2870565724298899e-12 ,-2.0592905158878238e-11
362  ,0.01 ,3.62 ,0.0087661916256716     ,0.008766191606600495   ,-1.2714069380637127e-12 ,-2.0342511009019403e-11
363  ,0.01 ,3.63 ,0.008635680035352809   ,0.008635680016513738   ,-1.2559380618837324e-12 ,-2.0095008990139718e-11
364  ,0.01 ,3.64 ,0.008507111509472361   ,0.008507111490862642   ,-1.2406479778700094e-12 ,-1.985036764592015e-11
365  ,0.01 ,3.65 ,0.008380457119569557   ,0.008380457101186534   ,-1.2255348356508358e-12 ,-1.9608557370413373e-11
366  ,0.01 ,3.66 ,0.008255688367872362   ,0.008255688349713413   ,-1.210596553558041e-12  ,-1.9369544856928656e-11
367  ,0.01 ,3.67 ,0.008132777180885297   ,0.008132777162947826   ,-1.1958313968681486e-12 ,-1.9133302349890377e-11
368  ,0.01 ,3.68 ,0.008011695903072779   ,0.008011695885354215   ,-1.1812376308576825e-12 ,-1.889980209372292e-11
369  ,0.01 ,3.69 ,0.007892417290636508   ,0.007892417273134307   ,-1.1668134051549354e-12 ,-1.8669014482478966e-11
370  ,0.01 ,3.7  ,0.007774914505385499   ,0.007774914488097146   ,-1.1525568693881994e-12 ,-1.844090991021119e-11
371  ,0.01 ,3.71 ,0.007659161108697373   ,0.007659161091620381   ,-1.1384661731857666e-12 ,-1.8215458770972266e-11
372  ,0.01 ,3.72 ,0.00754513105556956    ,0.007545131038701467   ,-1.1245395818241614e-12 ,-1.7992633309186583e-11
373  ,0.01 ,3.73 ,0.00743279868875906    ,0.007432798672097431   ,-1.1107753027557917e-12 ,-1.7772404844092668e-11
374  ,0.01 ,3.74 ,0.007322138733009457   ,0.007322138716551883   ,-1.0971716012571816e-12 ,-1.7554745620114906e-11
375  ,0.01 ,3.75 ,0.007213126289363878   ,0.007213126273107976   ,-1.083726800428971e-12  ,-1.7339628806863535e-11
376  ,0.01 ,3.76 ,0.007105736829562623   ,0.0071057368135060365  ,-1.0704391077235679e-12 ,-1.7127025723577086e-11
377  ,0.01 ,3.77 ,0.006999946190524207   ,0.006999946174664603   ,-1.0573069040657283e-12 ,-1.6916910465051653e-11
378  ,0.01 ,3.78 ,0.006895730568908557   ,0.006895730553243631   ,-1.0443283969078603e-12 ,-1.6709254350525764e-11
379  ,0.01 ,3.79 ,0.006793066515761167   ,0.006793066500288636   ,-1.0315020249988353e-12 ,-1.6504032399981365e-11
380  ,0.01 ,3.8  ,0.006691930931236982   ,0.006691930915954591   ,-1.0188260536151775e-12 ,-1.630121685784284e-11
381  ,0.01 ,3.81 ,0.006592301059402834   ,0.0065923010443083505  ,-1.0062989215057587e-12 ,-1.610078274409214e-11
382  ,0.01 ,3.82 ,0.0064941544831172635  ,0.00649415446820848    ,-9.939188939471025e-13  ,-1.590270230315364e-11
383  ,0.01 ,3.83 ,0.006397469118986566   ,0.006397469104261298   ,-9.816845253363126e-13  ,-1.5706952405381002e-11
384  ,0.01 ,3.84 ,0.006302223212395935   ,0.006302223197852023   ,-9.695941387740289e-13  ,-1.5513506220384462e-11
385  ,0.01 ,3.85 ,0.006208395332614585   ,0.006208395318249893   ,-9.576461730091228e-13  ,-1.5322338768145964e-11
386  ,0.01 ,3.86 ,0.006115964367973745   ,0.00611596435378616    ,-9.4583900896635e-13    ,-1.51334241434616e-11
387  ,0.01 ,3.87 ,0.006024909521116441   ,0.006024909507103874   ,-9.341711432186983e-13  ,-1.4946738291499173e-11
388  ,0.01 ,3.88 ,0.005935210304318008   ,0.005935210290478391   ,-9.22641130163271e-13   ,-1.4762258082612335e-11
389  ,0.01 ,3.89 ,0.0058468465348762615  ,0.005846846521207551   ,-9.112473507248235e-13  ,-1.4579957611597177e-11
390  ,0.01 ,3.9  ,0.005759798330570307   ,0.005759798317070482   ,-8.999883593004595e-13  ,-1.4399813748807352e-11
391  ,0.01 ,3.91 ,0.005674046105186956   ,0.005674046091854017   ,-8.888625946390505e-13  ,-1.4221801514224808e-11
392  ,0.01 ,3.92 ,0.005589570564113742   ,0.005589570550945712   ,-8.778686689618157e-13  ,-1.4045898703389051e-11
393  ,0.01 ,3.93 ,0.005506352699997557   ,0.005506352686992481   ,-8.670050788417428e-13  ,-1.3872081261467884e-11
394  ,0.01 ,3.94 ,0.005424373788467912   ,0.005424373775623857   ,-8.562703208518189e-13  ,-1.3700325133629103e-11
395  ,0.01 ,3.95 ,0.005343615383923878   ,0.005343615371238933   ,-8.456630072132635e-13  ,-1.3530608115412216e-11
396  ,0.01 ,3.96 ,0.005264059315383747   ,0.00526405930285602    ,-8.351817501472958e-13  ,-1.3362908002356733e-11
397  ,0.01 ,3.97 ,0.005185687682396481   ,0.005185687670024104   ,-8.24825104051019e-13   ,-1.3197201664816305e-11
398  ,0.01 ,3.98 ,0.0051084828510140415  ,0.005108482838795165   ,-8.145917389697684e-13  ,-1.3033467823516295e-11
399  ,0.01 ,3.99 ,0.005032427449823672   ,0.005032427437756468   ,-8.04480267124763e-13   ,-1.2871684273996209e-11
400  ,0.01 ,4.0  ,0.0049575043660392585  ,0.004957504354121918   ,-7.944893585613381e-13  ,-1.271182973698141e-11
401  ,0.01 ,4.01 ,0.004883696741650879   ,0.004883696729881615   ,-7.846175676765969e-13  ,-1.255388108282555e-11
402  ,0.01 ,4.02 ,0.0048109879696316814  ,0.004810987958008727   ,-7.748636223399904e-13  ,-1.2397817957439846e-11
403  ,0.01 ,4.03 ,0.004739361690201235   ,0.004739361678722841   ,-7.652262504209695e-13  ,-1.2243620006735512e-11
404  ,0.01 ,4.04 ,0.004668801787144504   ,0.004668801775808943   ,-7.557040641407535e-13  ,-1.2091265026252055e-11
405  ,0.01 ,4.05 ,0.004599292384185639   ,0.004599292372991202   ,-7.462957913687932e-13  ,-1.1940732661900692e-11
406  ,0.01 ,4.06 ,0.004530817841415741   ,0.004530817830360739   ,-7.370001599745398e-13  ,-1.1792002559592637e-11
407  ,0.01 ,4.07 ,0.004463362751773822   ,0.004463362740856584   ,-7.27815897827444e-13   ,-1.1645054365239104e-11
408  ,0.01 ,4.08 ,0.004396911937580147   ,0.004396911926799021   ,-7.18741732796957e-13   ,-1.1499867724751312e-11
409  ,0.01 ,4.09 ,0.004331450447121194   ,0.004331450436474547   ,-7.097764505766454e-13  ,-1.1356423209226326e-11
410  ,0.01 ,4.1  ,0.004266963551285454   ,0.004266963540771672   ,-7.009188368600761e-13  ,-1.1214701389761217e-11
411  ,0.01 ,4.11 ,0.004203436740249321   ,0.004203436729866806   ,-6.921676195167e-13     ,-1.10746819122672e-11
412  ,0.01 ,4.12 ,0.004140855720212317   ,0.004140855709959492   ,-6.835216420641999e-13  ,-1.0936346273027198e-11
413  ,0.01 ,4.13 ,0.004079206410180931   ,0.004079206400056236   ,-6.749796901961424e-13  ,-1.0799675043138279e-11
414  ,0.01 ,4.14 ,0.004018474938800333   ,0.0040184749288022245  ,-6.665405496060946e-13  ,-1.0664648793697514e-11
415  ,0.01 ,4.15 ,0.00395864764123326    ,0.003958647631360214   ,-6.58203063811739e-13   ,-1.0531249020987824e-11
416  ,0.01 ,4.16 ,0.003899711056085374   ,0.003899711046335882   ,-6.499661341548742e-13  ,-1.0399458146477988e-11
417  ,0.01 ,4.17 ,0.003841651922376387   ,0.003841651912748958   ,-6.41828575241125e-13   ,-1.0269257203858e-11
418  ,0.01 ,4.18 ,0.0037844571765562867  ,0.0037844571670494482  ,-6.337892305881739e-13  ,-1.0140627689410782e-11
419  ,0.01 ,4.19 ,0.0037281139495659826  ,0.0037281139401782776  ,-6.258470015378196e-13  ,-1.0013552024605114e-11
420  ,0.01 ,4.2  ,0.0036726095639417126  ,0.0036726095546717012  ,-6.180007605198027e-13  ,-9.888012168316844e-12
421  ,0.01 ,4.21 ,0.0036179315309625613  ,0.0036179315218088197  ,-6.102494377879796e-13  ,-9.763991004607674e-12
422  ,0.01 ,4.22 ,0.003564067547840444   ,0.0035640675388015648  ,-6.02591963596207e-13   ,-9.641471417539311e-12
423  ,0.01 ,4.23 ,0.003511005494951929   ,0.0035110054860265204  ,-5.950272392862832e-13  ,-9.52043582858053e-12
424  ,0.01 ,4.24 ,0.0034587334331112685  ,0.003458733424297956   ,-5.875541662000069e-13  ,-9.40086665920011e-12
425  ,0.01 ,4.25 ,0.003407239600884034   ,0.0034072395921814582  ,-5.801717324153503e-13  ,-9.282747718645605e-12
426  ,0.01 ,4.26 ,0.0033565124119407435  ,0.00335651240334756    ,-5.728788970982279e-13  ,-9.166062353571647e-12
