n    ,h    ,x_1  ,v_1                    ,v_2                    ,S                       ,olp
49   ,0.01 ,0.49 ,0.9590109182508975     ,0.9590109179684905     ,-1.8827132445646082e-11 ,-3.012341191303373e-10
50   ,0.01 ,0.5  ,0.9447331057847094     ,0.9447331055008292     ,-1.8925342774404424e-11 ,-3.028054843904708e-10
51   ,0.01 ,0.51 ,0.9306678622527639     ,0.9306678619675172     ,-1.901644767580516e-11  ,-3.042631628128826e-10
52   ,0.01 ,0.52 ,0.9168120229159309     ,0.9168120226294212     ,-1.9100646989992736e-11 ,-3.056103518398838e-10
53   ,0.01 ,0.53 ,0.9031624701519074     ,0.9031624698642355     ,-1.917812575413791e-11  ,-3.0685001206620657e-10
54   ,0.01 ,0.54 ,0.8897161327537397     ,0.8897161324650038     ,-1.9249061603924626e-11 ,-3.07984985662794e-10
55   ,0.01 ,0.55 ,0.8764699852387887     ,0.8764699849490841     ,-1.9313639576523654e-11 ,-3.0901823322437847e-10
56   ,0.01 ,0.56 ,0.8634210471679834     ,0.8634210468774031     ,-1.9372022504645276e-11 ,-3.099523600743244e-10
57   ,0.01 ,0.57 ,0.8505663824752098     ,0.850566382183844      ,-1.942438802397343e-11  ,-3.107902083835749e-10
58   ,0.01 ,0.58 ,0.8379030988066835     ,0.8379030985146199     ,-1.9470906368705226e-11 ,-3.115345018992836e-10
59   ,0.01 ,0.59 ,0.8254283468701578     ,0.8254283465774818     ,-1.951173297006411e-11  ,-3.1218772752102574e-10
60   ,0.01 ,0.6  ,0.813139319793821      ,0.8131393195006158     ,-1.9547015857786695e-11 ,-3.127522537245871e-10
61   ,0.01 ,0.61 ,0.8010332524947389     ,0.8010332522010849     ,-1.9576932667556928e-11 ,-3.1323092268091085e-10
62   ,0.01 ,0.62 ,0.7891074210566984     ,0.789107420762674      ,-1.960162402762459e-11  ,-3.1362598444199345e-10
63   ,0.01 ,0.63 ,0.7773591421173159     ,0.7773591418229974     ,-1.96212379677263e-11   ,-3.139398074836208e-10
64   ,0.01 ,0.64 ,0.7657857722642689     ,0.76578577196973       ,-1.9635929919085508e-11 ,-3.1417487870536813e-10
65   ,0.01 ,0.65 ,0.7543847074405171     ,0.7543847071458296     ,-1.9645833108465163e-11 ,-3.143333297354426e-10
66   ,0.01 ,0.66 ,0.7431533823583787     ,0.7431533820636124     ,-1.9651088164115056e-11 ,-3.144174106258409e-10
67   ,0.01 ,0.67 ,0.7320892699223299     ,0.7320892696275524     ,-1.965183571428497e-11  ,-3.1442937142855953e-10
68   ,0.01 ,0.68 ,0.7211898806603977     ,0.7211898803656747     ,-1.964820158425103e-11  ,-3.143712253480165e-10
69   ,0.01 ,0.69 ,0.7104527621640181     ,0.7104527618694132     ,-1.9640326402263025e-11 ,-3.142452224362084e-10
70   ,0.01 ,0.7  ,0.6998754985362339     ,0.699875498241809      ,-1.962832859211024e-11  ,-3.1405325747376385e-10
71   ,0.01 ,0.71 ,0.6894557098481077     ,0.6894557095539227     ,-1.961233397906881e-11  ,-3.1379734366510095e-10
72   ,0.01 ,0.72 ,0.6791910516032278     ,0.6791910513093409     ,-1.959246098692802e-11  ,-3.134793757908483e-10
73   ,0.01 ,0.73 ,0.6690792142101868     ,0.6690792139166543     ,-1.9568835440963994e-11 ,-3.131013670554239e-10
74   ,0.01 ,0.74 ,0.6591179224629136     ,0.65911792216979       ,-1.95415683634792e-11   ,-3.126650938156672e-10
75   ,0.01 ,0.75 ,0.6493049350287424     ,0.6493049347360808     ,-1.951077817826293e-11  ,-3.121724508522069e-10
76   ,0.01 ,0.76 ,0.6396380439441036     ,0.6396380436519551     ,-1.9476568506130814e-11 ,-3.11625096098093e-10
77   ,0.01 ,0.77 ,0.6301150741177226     ,0.6301150738261367     ,-1.9439057770872145e-11 ,-3.110249243339543e-10
78   ,0.01 ,0.78 ,0.6207338828412148     ,0.6207338825502396     ,-1.9398342191815725e-11 ,-3.103734750690516e-10
79   ,0.01 ,0.79 ,0.6114923593069677     ,0.6114923590166497     ,-1.9354532791264015e-11 ,-3.0967252466022425e-10
80   ,0.01 ,0.8  ,0.6023884241331997     ,0.6023884238435838     ,-1.9307725788545818e-11 ,-3.089236126167331e-10
81   ,0.01 ,0.81 ,0.5934200288960912     ,0.5934200286072209     ,-1.9258024804476766e-11 ,-3.0812839687162826e-10
82   ,0.01 ,0.82 ,0.5845851556688798     ,0.5845851553807969     ,-1.9205526058385658e-11 ,-3.0728841693417053e-10
83   ,0.01 ,0.83 ,0.5758818165678186     ,0.5758818162805638     ,-1.9150318368114465e-11 ,-3.0640509388983144e-10
84   ,0.01 ,0.84 ,0.5673080533048941     ,0.5673080530185065     ,-1.9092505354478817e-11 ,-3.0548008567166107e-10
85   ,0.01 ,0.85 ,0.558861936747203      ,0.5588619364617204     ,-1.9032168433833854e-11 ,-3.0451469494134167e-10
86   ,0.01 ,0.86 ,0.550541566482889      ,0.550541566198348      ,-1.896939642402155e-11  ,-3.035103427843448e-10
87   ,0.01 ,0.87 ,0.5423450703935424     ,0.5423450701099783     ,-1.8904270741397036e-11 ,-3.024683318623526e-10
88   ,0.01 ,0.88 ,0.5342706042329656     ,0.5342706039504124     ,-1.883688020380229e-11  ,-3.0139008326083663e-10
89   ,0.01 ,0.89 ,0.5263163512122094     ,0.5263163509307        ,-1.8767298826105615e-11 ,-3.0027678121768984e-10
90   ,0.01 ,0.9  ,0.5184805215907886     ,0.5184805213103543     ,-1.8695622827635817e-11 ,-2.991299652421731e-10
91   ,0.01 ,0.91 ,0.5107613522739822     ,0.5107613519946534     ,-1.862191882177437e-11  ,-2.979507011483899e-10
92   ,0.01 ,0.92 ,0.5031571064161299     ,0.503157106137936      ,-1.854626082338958e-11  ,-2.9674017317423326e-10
93   ,0.01 ,0.93 ,0.4956660730298344     ,0.49566607275280344    ,-1.8468730248836587e-11 ,-2.954996839813854e-10
94   ,0.01 ,0.94 ,0.4882865666009823     ,0.48828656632514134    ,-1.838939741224029e-11  ,-2.9423035859584465e-10
95   ,0.01 ,0.95 ,0.4810169267094959     ,0.48101692643487093    ,-1.8308332627725575e-11 ,-2.929333220436092e-10
96   ,0.01 ,0.96 ,0.4738555176557321     ,0.473855517382348      ,-1.822560620941734e-11  ,-2.9160969935067743e-10
97   ,0.01 ,0.97 ,0.46680072809244266    ,0.4668007278203234     ,-1.814128477069706e-11  ,-2.9026055633115294e-10
98   ,0.01 ,0.98 ,0.45985097066221464    ,0.4598509703913831     ,-1.805543492494621e-11  ,-2.888869587991394e-10
99   ,0.01 ,0.99 ,0.45300468164030805    ,0.45300468137078626    ,-1.7968119584802857e-11 ,-2.874899133568457e-10
100  ,0.01 ,1.0  ,0.4462603205828113     ,0.4462603203146202     ,-1.7879405363648478e-11 ,-2.8607048581837565e-10
101  ,0.01 ,1.01 ,0.4396163699800347     ,0.4396163697131945     ,-1.7789347772634302e-11 ,-2.8462956436214883e-10
102  ,0.01 ,1.02 ,0.4330713349150646     ,0.4330713346495945     ,-1.7698006023654975e-11 ,-2.831680963784796e-10
103  ,0.01 ,1.03 ,0.42662374272740056    ,0.4266237424633189     ,-1.760544302934856e-11  ,-2.8168708846957695e-10
104  ,0.01 ,1.04 ,0.42027214268160057    ,0.42027214241892485    ,-1.7511714300866288e-11 ,-2.801874288138606e-10
105  ,0.01 ,1.05 ,0.4140151056408595     ,0.41401510537960645    ,-1.7416871648615977e-11 ,-2.786699463778556e-10
106  ,0.01 ,1.06 ,0.4078512237454474     ,0.4078512234856328     ,-1.732097428449227e-11  ,-2.7713558855187634e-10
107  ,0.01 ,1.07 ,0.40177911009593487    ,0.4017791098375738     ,-1.722407031815957e-11  ,-2.7558512509055314e-10
108  ,0.01 ,1.08 ,0.39579739844113504    ,0.3957973981842418     ,-1.712621526076911e-11  ,-2.7401944417230577e-10
109  ,0.01 ,1.09 ,0.38990474287069116    ,0.38990474261527935    ,-1.702745352124187e-11  ,-2.7243925633986993e-10
110  ,0.01 ,1.1  ,0.3840998175122412     ,0.38409981725832365    ,-1.692783690998567e-11  ,-2.7084539055977074e-10
111  ,0.01 ,1.11 ,0.3783813162330909     ,0.3783813159806797     ,-1.682741353666491e-11  ,-2.692386165866386e-10
112  ,0.01 ,1.12 ,0.37274795234632846    ,0.37274795209543504    ,-1.6726227810200575e-11 ,-2.676196449632092e-10
113  ,0.01 ,1.13 ,0.36719845832131454    ,0.3671984580719496     ,-1.6624327840257062e-11 ,-2.65989245444113e-10
114  ,0.01 ,1.14 ,0.3617315854984824     ,0.36173158525065613    ,-1.652175063426853e-11  ,-2.6434801014829647e-10
115  ,0.01 ,1.15 ,0.35634610380838444    ,0.3563461035621063     ,-1.6418544301899374e-11 ,-2.6269670883039e-10
116  ,0.01 ,1.16 ,0.3510408014949213     ,0.35104080125020004    ,-1.631474955132717e-11  ,-2.610359928212347e-10
117  ,0.01 ,1.17 ,0.3458144848426915     ,0.34581448459953545    ,-1.6210403389986066e-11 ,-2.5936645423977705e-10
118  ,0.01 ,1.18 ,0.34066597790840064    ,0.3406659776668174     ,-1.610555022679705e-11  ,-2.576888036287528e-10
