n   ,h                      ,x              ,v[1]_1                 ,v[2]_1                ,v[1]_2                 ,v[2]_2                ,S                      ,ОЛП
67  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718222578    ,-0.3309603869197636   ,-0.3982499157738367    ,-0.3302927824810836   ,9.99999999999678e-05   ,0.0015999999999994849
68  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718222819    ,-0.3309603869197138   ,-0.3982499157738607    ,-0.33029278248103366  ,9.999999999996612e-05  ,0.001599999999999458
69  ,7.275957614183426e-14  ,11.52330531212 ,-0.396906671822306     ,-0.330960386919664    ,-0.3982499157738847    ,-0.3302927824809837   ,9.999999999996444e-05  ,0.001599999999999431
70  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718223301    ,-0.3309603869196142   ,-0.39824991577390867   ,-0.33029278248093374  ,9.999999999996275e-05  ,0.001599999999999404
71  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718223542    ,-0.3309603869195644   ,-0.39824991577393265   ,-0.3302927824808838   ,9.999999999996105e-05  ,0.0015999999999993769
72  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182237827   ,-0.3309603869195146   ,-0.39824991577395663   ,-0.3302927824808338   ,9.999999999995937e-05  ,0.00159999999999935
73  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182240236   ,-0.33096038691946483  ,-0.3982499157739806    ,-0.33029278248078386  ,9.999999999995768e-05  ,0.0015999999999993229
74  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182242645   ,-0.33096038691941504  ,-0.3982499157740046    ,-0.3302927824807339   ,9.9999999999956e-05    ,0.001599999999999296
75  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182245054   ,-0.33096038691936525  ,-0.3982499157740286    ,-0.33029278248068394  ,9.999999999995432e-05  ,0.001599999999999269
76  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182247463   ,-0.33096038691931545  ,-0.39824991577405255   ,-0.330292782480634    ,9.999999999995263e-05  ,0.001599999999999242
77  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718224987    ,-0.33096038691926566  ,-0.39824991577407653   ,-0.330292782480584    ,9.999999999995093e-05  ,0.001599999999999215
78  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718225228    ,-0.33096038691921587  ,-0.3982499157741005    ,-0.33029278248053406  ,9.999999999994925e-05  ,0.001599999999999188
79  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718225469    ,-0.33096038691916607  ,-0.3982499157741245    ,-0.3302927824804841   ,9.999999999994756e-05  ,0.001599999999999161
80  ,7.275957614183426e-14  ,11.52330531212 ,-0.396906671822571     ,-0.3309603869191163   ,-0.3982499157741485    ,-0.33029278248043414  ,9.999999999994588e-05  ,0.001599999999999134
81  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718225951    ,-0.3309603869190665   ,-0.39824991577417246   ,-0.3302927824803842   ,9.99999999999442e-05   ,0.0015999999999991071
82  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718226192    ,-0.3309603869190167   ,-0.39824991577419644   ,-0.3302927824803342   ,9.99999999999425e-05   ,0.00159999999999908
83  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718226433    ,-0.3309603869189669   ,-0.3982499157742204    ,-0.33029278248028426  ,9.999999999994082e-05  ,0.0015999999999990531
84  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182266737   ,-0.3309603869189171   ,-0.3982499157742444    ,-0.3302927824802343   ,9.999999999993913e-05  ,0.001599999999999026
85  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182269146   ,-0.3309603869188673   ,-0.3982499157742684    ,-0.33029278248018434  ,9.999999999993745e-05  ,0.0015999999999989991
86  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182271555   ,-0.3309603869188175   ,-0.39824991577429236   ,-0.3302927824801344   ,9.999999999993575e-05  ,0.001599999999998972
87  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182273964   ,-0.3309603869187677   ,-0.39824991577431634   ,-0.3302927824800844   ,9.999999999993407e-05  ,0.0015999999999989451
88  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182276373   ,-0.33096038691871793  ,-0.3982499157743403    ,-0.33029278248003446  ,9.999999999993239e-05  ,0.0015999999999989183
89  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718227878    ,-0.33096038691866814  ,-0.3982499157743643    ,-0.3302927824799845   ,9.99999999999307e-05   ,0.0015999999999988912
90  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718228119    ,-0.33096038691861834  ,-0.3982499157743883    ,-0.33029278247993454  ,9.999999999992902e-05  ,0.0015999999999988643
91  ,7.275957614183426e-14  ,11.52330531212 ,-0.396906671822836     ,-0.33096038691856855  ,-0.39824991577441227   ,-0.3302927824798846   ,9.999999999992732e-05  ,0.0015999999999988372
92  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718228601    ,-0.33096038691851876  ,-0.39824991577443625   ,-0.3302927824798346   ,9.999999999992564e-05  ,0.0015999999999988103
93  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718228842    ,-0.33096038691846896  ,-0.39824991577446023   ,-0.33029278247978466  ,9.999999999992395e-05  ,0.0015999999999987832
94  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718229083    ,-0.33096038691841917  ,-0.3982499157744842    ,-0.3302927824797347   ,9.999999999992227e-05  ,0.0015999999999987563
95  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718229324    ,-0.3309603869183694   ,-0.3982499157745082    ,-0.33029278247968474  ,9.999999999992057e-05  ,0.0015999999999987292
96  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182295647   ,-0.3309603869183196   ,-0.39824991577453217   ,-0.3302927824796348   ,9.999999999991889e-05  ,0.0015999999999987023
97  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182298056   ,-0.3309603869182698   ,-0.39824991577455615   ,-0.3302927824795848   ,9.99999999999172e-05   ,0.0015999999999986752
98  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182300465   ,-0.33096038691822     ,-0.39824991577458013   ,-0.33029278247953486  ,9.999999999991552e-05  ,0.0015999999999986483
99  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182302874   ,-0.3309603869181702   ,-0.3982499157746041    ,-0.3302927824794849   ,9.999999999991382e-05  ,0.0015999999999986212
100 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182305284   ,-0.3309603869181204   ,-0.3982499157746281    ,-0.33029278247943494  ,9.999999999991214e-05  ,0.0015999999999985943
101 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182307693   ,-0.3309603869180706   ,-0.3982499157746521    ,-0.330292782479385    ,9.999999999991045e-05  ,0.0015999999999985672
102 ,7.275957614183426e-14  ,11.52330531212 ,-0.396906671823101     ,-0.3309603869180208   ,-0.39824991577467606   ,-0.330292782479335    ,9.999999999990877e-05  ,0.0015999999999985403
103 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718231251    ,-0.33096038691797103  ,-0.39824991577470004   ,-0.33029278247928506  ,9.999999999990708e-05  ,0.0015999999999985132
104 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718231492    ,-0.33096038691792123  ,-0.398249915774724     ,-0.3302927824792351   ,9.99999999999054e-05   ,0.0015999999999984863
105 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718231733    ,-0.33096038691787144  ,-0.398249915774748     ,-0.33029278247918514  ,9.999999999990371e-05  ,0.0015999999999984594
106 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718231974    ,-0.33096038691782165  ,-0.398249915774772     ,-0.3302927824791352   ,9.999999999990202e-05  ,0.0015999999999984323
107 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718232215    ,-0.33096038691777185  ,-0.39824991577479596   ,-0.3302927824790852   ,9.999999999990034e-05  ,0.0015999999999984054
108 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182324557   ,-0.33096038691772206  ,-0.39824991577481994   ,-0.33029278247903526  ,9.999999999989865e-05  ,0.0015999999999983783
109 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182326966   ,-0.33096038691767227  ,-0.3982499157748439    ,-0.3302927824789853   ,9.999999999989696e-05  ,0.0015999999999983514
110 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182329376   ,-0.3309603869176225   ,-0.3982499157748679    ,-0.33029278247893534  ,9.999999999989527e-05  ,0.0015999999999983243
111 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182331785   ,-0.3309603869175727   ,-0.3982499157748919    ,-0.3302927824788854   ,9.999999999989359e-05  ,0.0015999999999982974
112 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182334194   ,-0.3309603869175229   ,-0.39824991577491586   ,-0.3302927824788354   ,9.99999999998919e-05   ,0.0015999999999982703
113 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182336603   ,-0.3309603869174731   ,-0.39824991577493984   ,-0.33029278247878546  ,9.999999999989022e-05  ,0.0015999999999982435
114 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718233901    ,-0.3309603869174233   ,-0.3982499157749638    ,-0.3302927824787355   ,9.999999999988854e-05  ,0.0015999999999982166
115 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718234142    ,-0.3309603869173735   ,-0.3982499157749878    ,-0.33029278247868554  ,9.999999999988684e-05  ,0.0015999999999981895
116 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718234383    ,-0.3309603869173237   ,-0.3982499157750118    ,-0.3302927824786356   ,9.999999999988515e-05  ,0.0015999999999981624
117 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718234624    ,-0.3309603869172739   ,-0.39824991577503577   ,-0.3302927824785856   ,9.999999999988345e-05  ,0.0015999999999981352
118 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718234865    ,-0.3309603869172241   ,-0.39824991577505975   ,-0.33029278247853566  ,9.999999999988179e-05  ,0.0015999999999981086
119 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718235106    ,-0.33096038691717433  ,-0.39824991577508373   ,-0.3302927824784857   ,9.999999999988009e-05  ,0.0015999999999980815
120 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718235347    ,-0.33096038691712454  ,-0.3982499157751077    ,-0.33029278247843574  ,9.999999999987841e-05  ,0.0015999999999980546
121 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182355877   ,-0.33096038691707474  ,-0.3982499157751317    ,-0.3302927824783858   ,9.999999999987672e-05  ,0.0015999999999980275
122 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182358286   ,-0.33096038691702495  ,-0.39824991577515567   ,-0.3302927824783358   ,9.999999999987504e-05  ,0.0015999999999980006
123 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182360695   ,-0.33096038691697516  ,-0.39824991577517965   ,-0.33029278247828586  ,9.999999999987334e-05  ,0.0015999999999979735
124 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182363104   ,-0.33096038691692536  ,-0.39824991577520363   ,-0.3302927824782359   ,9.999999999987166e-05  ,0.0015999999999979466
125 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182365513   ,-0.33096038691687557  ,-0.3982499157752276    ,-0.33029278247818594  ,9.999999999986997e-05  ,0.0015999999999979195
126 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718236792    ,-0.3309603869168258   ,-0.3982499157752516    ,-0.330292782478136    ,9.999999999986827e-05  ,0.0015999999999978924
127 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718237033    ,-0.330960386916776    ,-0.3982499157752756    ,-0.330292782478086    ,9.99999999998666e-05   ,0.0015999999999978655
128 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718237274    ,-0.3309603869167262   ,-0.39824991577529956   ,-0.33029278247803606  ,9.999999999986491e-05  ,0.0015999999999978386
129 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718237515    ,-0.3309603869166764   ,-0.39824991577532354   ,-0.3302927824779861   ,9.999999999986323e-05  ,0.0015999999999978117
130 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718237756    ,-0.3309603869166266   ,-0.3982499157753475    ,-0.33029278247793614  ,9.999999999986155e-05  ,0.0015999999999977848
131 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718237997    ,-0.3309603869165768   ,-0.3982499157753715    ,-0.3302927824778862   ,9.999999999985984e-05  ,0.0015999999999977575
132 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718238238    ,-0.330960386916527    ,-0.3982499157753955    ,-0.3302927824778362   ,9.999999999985815e-05  ,0.0015999999999977304
133 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182384787   ,-0.3309603869164772   ,-0.39824991577541946   ,-0.33029278247778626  ,9.999999999985648e-05  ,0.0015999999999977037
134 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182387196   ,-0.33096038691642743  ,-0.39824991577544344   ,-0.3302927824777363   ,9.999999999985479e-05  ,0.0015999999999976766
135 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182389605   ,-0.33096038691637764  ,-0.3982499157754674    ,-0.33029278247768634  ,9.999999999985311e-05  ,0.0015999999999976497
136 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182392014   ,-0.33096038691632784  ,-0.3982499157754914    ,-0.3302927824776364   ,9.999999999985143e-05  ,0.0015999999999976229
137 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182394423   ,-0.33096038691627805  ,-0.3982499157755154    ,-0.3302927824775864   ,9.999999999984973e-05  ,0.0015999999999975957
138 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718239683    ,-0.33096038691622826  ,-0.39824991577553936   ,-0.33029278247753646  ,9.999999999984804e-05  ,0.0015999999999975686
139 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718239924    ,-0.33096038691617846  ,-0.39824991577556335   ,-0.3302927824774865   ,9.999999999984635e-05  ,0.0015999999999975415
140 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718240165    ,-0.33096038691612867  ,-0.3982499157755873    ,-0.33029278247743654  ,9.999999999984468e-05  ,0.0015999999999975149
141 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718240406    ,-0.3309603869160789   ,-0.3982499157756113    ,-0.3302927824773866   ,9.999999999984299e-05  ,0.0015999999999974878
142 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718240647    ,-0.3309603869160291   ,-0.3982499157756353    ,-0.3302927824773366   ,9.99999999998413e-05   ,0.0015999999999974609
143 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718240888    ,-0.3309603869159793   ,-0.39824991577565927   ,-0.33029278247728666  ,9.999999999983962e-05  ,0.001599999999997434
144 ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718241129    ,-0.3309603869159295   ,-0.39824991577568325   ,-0.3302927824772367   ,9.999999999983793e-05  ,0.0015999999999974069
145 ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182413697   ,-0.3309603869158797   ,-0.39824991577570723   ,-0.33029278247718674  ,9.999999999983625e-05  ,0.00159999999999738
