0,1,2,3,4,5,6,7,8,9,10
1.2246467991473532e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16
1.2246467991473532e-16,-0.024459554521020693,-0.03410352221404326,-0.02891886018501465,-0.019869183156273174,-0.016565243883977555,-0.01986918315627318,-0.02891886018501467,-0.03410352221404329,-0.02445955452102069,1.2246467991473532e-16
1.2246467991473532e-16,-0.03410352221404322,-0.04327302082455894,-0.03762763527382815,-0.029521937685947405,-0.026524346311105132,-0.029521937685947422,-0.03762763527382816,-0.04327302082455895,-0.03410352221404321,1.2246467991473532e-16
1.2246467991473532e-16,-0.028918860185014585,-0.03762763527382813,-0.03596811475286075,-0.03207426236794767,-0.030491570125779466,-0.03207426236794768,-0.03596811475286076,-0.03762763527382813,-0.028918860185014595,1.2246467991473532e-16
1.2246467991473532e-16,-0.0198691831562731,-0.029521937685947377,-0.032074262367947665,-0.031704526523331916,-0.03129795721086537,-0.0317045265233319,-0.032074262367947665,-0.02952193768594738,-0.019869183156273104,1.2246467991473532e-16
1.2246467991473532e-16,-0.01656524388397748,-0.026524346311105083,-0.030491570125779452,-0.03129795721086536,-0.031296551877362,-0.03129795721086538,-0.03049157012577944,-0.02652434631110509,-0.016565243883977475,1.2246467991473532e-16
1.2246467991473532e-16,-0.019869183156273094,-0.029521937685947373,-0.03207426236794766,-0.03170452652333191,-0.03129795721086537,-0.03170452652333192,-0.03207426236794767,-0.029521937685947394,-0.0198691831562731,1.2246467991473532e-16
1.2246467991473532e-16,-0.028918860185014605,-0.03762763527382814,-0.035968114752860755,-0.032074262367947685,-0.030491570125779466,-0.03207426236794769,-0.03596811475286076,-0.037627635273828154,-0.02891886018501459,1.2246467991473532e-16
1.2246467991473532e-16,-0.034103522214043225,-0.043273020824558944,-0.03762763527382815,-0.029521937685947408,-0.026524346311105132,-0.029521937685947446,-0.03762763527382816,-0.04327302082455895,-0.034103522214043246,1.2246467991473532e-16
1.2246467991473532e-16,-0.024459554521020697,-0.03410352221404329,-0.028918860185014657,-0.019869183156273184,-0.01656524388397756,-0.019869183156273187,-0.028918860185014668,-0.03410352221404328,-0.024459554521020704,1.2246467991473532e-16
1.2246467991473532e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16
